color,percentage_blue,Answer.misread_instructions,Answer.time_in_minutes,rating,workerid,modal,Answer.condition
blue,0,0,4.569933333333333,0,0,might,probably
blue,10,0,4.569933333333333,0,0,might,probably
blue,25,0,4.569933333333333,0,0,might,probably
blue,40,0,4.569933333333333,0,0,might,probably
blue,50,0,4.569933333333333,5,0,might,probably
blue,60,0,4.569933333333333,0,0,might,probably
blue,75,0,4.569933333333333,5,0,might,probably
blue,90,0,4.569933333333333,0,0,might,probably
blue,100,0,4.569933333333333,0,0,might,probably
blue,0,0,4.569933333333333,0,0,probably,probably
blue,10,0,4.569933333333333,0,0,probably,probably
blue,25,0,4.569933333333333,0,0,probably,probably
blue,40,0,4.569933333333333,0,0,probably,probably
blue,50,0,4.569933333333333,0,0,probably,probably
blue,60,0,4.569933333333333,0,0,probably,probably
blue,75,0,4.569933333333333,10,0,probably,probably
blue,90,0,4.569933333333333,0,0,probably,probably
blue,100,0,4.569933333333333,0,0,probably,probably
blue,0,0,4.569933333333333,0,0,bare,probably
blue,10,0,4.569933333333333,0,0,bare,probably
blue,25,0,4.569933333333333,0,0,bare,probably
blue,40,0,4.569933333333333,0,0,bare,probably
blue,50,0,4.569933333333333,0,0,bare,probably
blue,60,0,4.569933333333333,0,0,bare,probably
blue,75,0,4.569933333333333,0,0,bare,probably
blue,90,0,4.569933333333333,0,0,bare,probably
blue,100,0,4.569933333333333,10,0,bare,probably
orange,0,0,4.569933333333333,0,0,might,probably
orange,10,0,4.569933333333333,0,0,might,probably
orange,25,0,4.569933333333333,0,0,might,probably
orange,40,0,4.569933333333333,0,0,might,probably
orange,50,0,4.569933333333333,0,0,might,probably
orange,60,0,4.569933333333333,0,0,might,probably
orange,75,0,4.569933333333333,10,0,might,probably
orange,90,0,4.569933333333333,0,0,might,probably
orange,100,0,4.569933333333333,0,0,might,probably
orange,0,0,4.569933333333333,0,0,probably,probably
orange,10,0,4.569933333333333,0,0,probably,probably
orange,25,0,4.569933333333333,0,0,probably,probably
orange,40,0,4.569933333333333,4,0,probably,probably
orange,50,0,4.569933333333333,6,0,probably,probably
orange,60,0,4.569933333333333,0,0,probably,probably
orange,75,0,4.569933333333333,0,0,probably,probably
orange,90,0,4.569933333333333,0,0,probably,probably
orange,100,0,4.569933333333333,0,0,probably,probably
orange,0,0,4.569933333333333,10,0,bare,probably
orange,10,0,4.569933333333333,0,0,bare,probably
orange,25,0,4.569933333333333,0,0,bare,probably
orange,40,0,4.569933333333333,0,0,bare,probably
orange,50,0,4.569933333333333,0,0,bare,probably
orange,60,0,4.569933333333333,0,0,bare,probably
orange,75,0,4.569933333333333,0,0,bare,probably
orange,90,0,4.569933333333333,0,0,bare,probably
orange,100,0,4.569933333333333,0,0,bare,probably
